Argumenty i fakty,AIF,0204-0476
Natsional'nye interesy: prioritety i bezopasnost',NAI,2073-2872
Natsional'nyi bankovskii zhurnal,NBZ,1810-2913
Prikladnaia ekonometrika,PEK,1993-7601
Probely v rossiiskom zakonodatel'stve,PZK,2072-3164
Problemy ekonomiki i iuridicheskoi praktiki,BVZ,2541-8025
Region: ekonomika i sotsiologiia,RGN,0868-5169
Regional'naia ekonomika: teoriia i praktika,REG,2073-1477
Sovremennaia konkurentsiia,SOK,1993-7598
Zhurnal ekonomicheskoi teorii,ZET,2073-6517
Rossiiskoe predprinimatel'stvo,RPR,1994-6937
Al'-Minbar,ALMIN,
As-Salam,ASAL,
Islam v sovremennom mire,IVM,2074-1529
Islamovedenie,ISVED,2077-8155
Islamskaia mysl': traditsiia i sovremennost',IMYS,
Islamskii vestnik,ISV,
Minaret Islama,MII,
Minbar Islama,TRI,
Zori Islama,ZORI,
Islam v stranakh Sodruzhestva Nezavisimykh Gosudarstv,ISN,
Medina al'-Islam,MAI,
Poslanie / Riselet,POS,
15 let Sodruzhestva Nezavisimykh Gosudarstv. 15 years of the Commonwealth of Independent States (1991-2005),STAT15SNG,
Belarus' i Rossiia,STATBELROS,
Chislennost' i migratsiia naseleniia Rossiiskoi Federatsii,STATCHMNRF,
Chislennost' naseleniia Rossiiskoi Federatsii po polu i vozrastu,STATCHNRFP,
Current Statistical Survey,STATSOE,
Demograficheskii ezhegodnik Rossii. The Demographic Yearbook of Russia,STATDEZH,
"Dokhody, raskhody i potreblenie domashnikh khoziaistv (godovoe izdanie)",STATDRAP,
"Dokhody, raskhody i potreblenie domashnikh khoziaistv (kvartal'noe izdanie)",STATDRAPKV,
Estestvennoe dvizhenie naseleniia Rossiiskoi Federatsii (godovoe izdanie),STATEND,
Estestvennoe dvizhenie naseleniia Rossiiskoi Federatsii (kvartal'noe izdanie),STATENDKV,
Evropeiskii soiuz i Rossiia. Statisticheskie sopostavleniia,STATESSP,
Finansy Rossii,STATFINROS,
Informatsiia o sotsial'no-ekonomicheskom polozhenii Rossii,STATINFSEP,
Investitsii v Rossii,STATINVROS,
"Investitsii, finansy i tseny stran Sodruzhestva Nezavisimykh Gosudarstv. Finances, investment and prices of the Commonwealth of Independent States",STATINFCSN,
"Investitsionnaia deiatel'nost' v Rossii: usloviia, faktory, tendentsii",STATIVDVR,
Kratkosrochnye ekonomicheskie pokazateli Rossiiskoi Federatsii,STATKPOKR,
Makroekonomika i finansy stran SNG i otdel'nykh stran mira. Macroeconomics and finances of the CIS and other countries of the world,STATMFSNG,
Maloe i srednee predprinimatel'stvo v Rossii,STATMSPR,
Mezhdunarodnye sopostavleniia VVP na osnove pariteta pokupatel'noi sposobnosti valiut. International Comparison of GDP based on Purchasing Power Parities,STATMSPSV,
Monitoring pokazatelei kachestva zhizni naseleniia v stranakh Sodruzhestva Nezavisimykh Gosudarstv,STATMPKZ,
Monitoring sostoianiia natsional'nykh rynkov truda stran Sodruzhestva Nezavisimykh Gosudarstv,STATMSNR,
Naselenie i sotsial'nye indikatory stran SNG i otdel'nykh stran mira. Population and social indicators of the CIS and other countries of the world,STATNSISM,
"Naselenie i usloviia zhizni v stranakh Sodruzhestva Nezavisimykh Gosudarstv. Population, employment and living conditions in the countries of the Commonwealth of Independent States.",STATNASUS,
Naselenie Rossii za 100 let (1897-1997) ,STATNROS,
Natsional'nye scheta Rossii,STATNACCH,
Natsional'nye scheta stran Sodruzhestva Nezavisimykh Gosudarstv. National Accounts of the Commonwealth of Independent States,STATNSSNG,
Okhrana okruzhaiushchei sredy v Rossii,STATOHOKSR,
